timestamp_sec,x_m,y_m
1765320871.312755,2.2130,2.0301
1765320871.372499,2.2130,2.0301
1765320871.422499,2.2130,2.0301
1765320871.473253,2.2130,2.0301
1765320871.520300,2.2130,2.0301
1765320871.570279,2.2130,2.0301
1765320871.610635,2.2130,2.0301
1765320871.662246,2.2130,2.0301
1765320871.729548,2.2130,2.0301
1765320871.770582,2.2130,2.0301
1765320871.821300,2.2130,2.0301
1765320871.872138,2.2130,2.0301
1765320871.919219,2.2130,2.0301
1765320871.969188,2.2130,2.0301
1765320872.010714,2.2130,2.0301
1765320872.061399,2.2130,2.0301
1765320872.111125,2.2130,2.0301
1765320872.159240,2.2130,2.0301
1765320872.220990,2.2130,2.0301
1765320872.270653,2.2130,2.0301
1765320872.319407,2.2130,2.0301
1765320872.367306,2.2130,2.0301
1765320872.430792,2.2130,2.0301
1765320872.461210,2.2130,2.0301
1765320872.529331,2.2130,2.0301
1765320872.570745,2.2130,2.0301
1765320872.621131,2.2130,2.0301
1765320872.671287,2.2130,2.0301
1765320872.722188,2.2130,2.0301
1765320872.768158,2.2130,2.0301
1765320872.810836,2.2130,2.0301
1765320872.881682,2.2130,2.0301
1765320872.927826,2.2130,2.0301
1765320872.971077,2.2130,2.0301
1765320873.021292,2.2130,2.0301
1765320873.071229,2.2130,2.0301
1765320873.122254,2.2130,2.0301
1765320873.167161,2.2130,2.0301
1765320873.211169,2.2130,2.0301
1765320873.282484,2.2130,2.0301
1765320873.326622,2.2130,2.0301
1765320873.371128,2.2142,2.0312
1765320873.421396,2.2174,2.0345
1765320873.471238,2.2215,2.0386
1765320873.521212,2.2254,2.0426
1765320873.567170,2.2286,2.0461
1765320873.611163,2.2316,2.0491
1765320873.661502,2.2353,2.0526
1765320873.732757,2.2427,2.0600
1765320873.771219,2.2483,2.0660
1765320873.820596,2.2564,2.0743
1765320873.871179,2.2636,2.0821
1765320873.921208,2.2683,2.0871
1765320873.973163,2.2718,2.0905
1765320874.011149,2.2742,2.0930
1765320874.061181,2.2771,2.0958
1765320874.111299,2.2799,2.0985
1765320874.161160,2.2822,2.1010
1765320874.221097,2.2858,2.1040
1765320874.271297,2.2891,2.1067
1765320874.321411,2.2926,2.1090
1765320874.372086,2.2954,2.1111
1765320874.411155,2.2980,2.1126
1765320874.480741,2.3026,2.1152
1765320874.511432,2.3045,2.1161
1765320874.571551,2.3085,2.1179
1765320874.620902,2.3122,2.1191
1765320874.671311,2.3157,2.1202
1765320874.721209,2.3191,2.1213
1765320874.767081,2.3220,2.1221
1765320874.816173,2.3257,2.1228
1765320874.866458,2.3295,2.1234
1765320874.927463,2.3340,2.1240
1765320874.956790,2.3361,2.1241
1765320875.024574,2.3408,2.1239
1765320875.067216,2.3440,2.1237
1765320875.117244,2.3476,2.1236
1765320875.167100,2.3512,2.1232
1765320875.215235,2.3545,2.1227
1765320875.280688,2.3597,2.1215
1765320875.331147,2.3633,2.1205
1765320875.360685,2.3652,2.1199
1765320875.421297,2.3687,2.1189
1765320875.471279,2.3722,2.1179
1765320875.521221,2.3763,2.1167
1765320875.572080,2.3808,2.1149
1765320875.612227,2.3850,2.1133
1765320875.663922,2.3907,2.1114
1765320875.726744,2.3972,2.1089
1765320875.777347,2.4026,2.1070
1765320875.824302,2.4078,2.1051
1765320875.867167,2.4125,2.1034
1765320875.916219,2.4182,2.1012
1765320875.967087,2.4238,2.0991
1765320876.017229,2.4292,2.0971
1765320876.063896,2.4344,2.0952
1765320876.131094,2.4415,2.0926
1765320876.172284,2.4458,2.0909
1765320876.221172,2.4513,2.0889
1765320876.271200,2.4565,2.0868
1765320876.321284,2.4617,2.0850
1765320876.371089,2.4668,2.0832
1765320876.411239,2.4710,2.0816
1765320876.461403,2.4763,2.0798
1765320876.531890,2.4839,2.0771
1765320876.571311,2.4881,2.0756
1765320876.621025,2.4934,2.0739
1765320876.671188,2.4987,2.0722
1765320876.721218,2.5040,2.0703
1765320876.771092,2.5094,2.0685
1765320876.812226,2.5138,2.0670
1765320876.861116,2.5192,2.0653
1765320876.911226,2.5242,2.0636
1765320876.971173,2.5306,2.0616
1765320877.022181,2.5361,2.0596
1765320877.071202,2.5413,2.0581
1765320877.121229,2.5465,2.0564
1765320877.171431,2.5517,2.0547
1765320877.211526,2.5559,2.0535
1765320877.262310,2.5611,2.0517
1765320877.331197,2.5686,2.0495
1765320877.370732,2.5728,2.0482
1765320877.422290,2.5780,2.0468
1765320877.471198,2.5834,2.0451
1765320877.521225,2.5889,2.0437
1765320877.572096,2.5944,2.0420
1765320877.611266,2.5985,2.0408
1765320877.662483,2.6038,2.0394
1765320877.711416,2.6093,2.0377
1765320877.771178,2.6158,2.0361
1765320877.822176,2.6210,2.0346
1765320877.871219,2.6264,2.0332
1765320877.921222,2.6319,2.0317
1765320877.971221,2.6373,2.0304
1765320878.011239,2.6418,2.0291
1765320878.081471,2.6494,2.0272
1765320878.110559,2.6528,2.0263
1765320878.171345,2.6593,2.0248
1765320878.222375,2.6647,2.0234
1765320878.271422,2.6701,2.0222
1765320878.321089,2.6755,2.0208
1765320878.371273,2.6810,2.0195
1765320878.411446,2.6854,2.0186
1765320878.461997,2.6908,2.0174
1765320878.529772,2.6981,2.0156
1765320878.571591,2.7025,2.0146
1765320878.622656,2.7077,2.0137
1765320878.673612,2.7129,2.0124
1765320878.720283,2.7179,2.0116
1765320878.769979,2.7228,2.0104
1765320878.811913,2.7268,2.0097
1765320878.863299,2.7318,2.0086
1765320878.929724,2.7382,2.0074
1765320878.970913,2.7420,2.0067
1765320879.022213,2.7464,2.0060
1765320879.072367,2.7506,2.0052
1765320879.120400,2.7550,2.0047
1765320879.169888,2.7596,2.0040
1765320879.211377,2.7634,2.0036
1765320879.261335,2.7681,2.0029
1765320879.312481,2.7728,2.0026
1765320879.359155,2.7771,2.0020
1765320879.421171,2.7825,2.0016
1765320879.471398,2.7871,2.0011
1765320879.519205,2.7913,2.0008
1765320879.569345,2.7959,2.0004
1765320879.611911,2.7998,2.0004
1765320879.678656,2.8061,2.0001
1765320879.729161,2.8108,1.9999
1765320879.770866,2.8147,1.9997
1765320879.822188,2.8191,1.9998
1765320879.871273,2.8234,1.9995
1765320879.923301,2.8281,1.9996
1765320879.969211,2.8324,1.9997
1765320880.011872,2.8363,1.9999
1765320880.061394,2.8408,1.9999
1765320880.128496,2.8468,2.0004
1765320880.162179,2.8498,2.0005
1765320880.221297,2.8553,2.0008
1765320880.270624,2.8596,2.0012
1765320880.322245,2.8639,2.0015
1765320880.368442,2.8682,2.0017
1765320880.412329,2.8723,2.0022
1765320880.481866,2.8787,2.0030
1765320880.527870,2.8829,2.0035
1765320880.562252,2.8858,2.0038
1765320880.620804,2.8909,2.0047
1765320880.671217,2.8954,2.0054
1765320880.722410,2.9001,2.0060
1765320880.767211,2.9041,2.0067
1765320880.812187,2.9078,2.0075
1765320880.861974,2.9122,2.0082
1765320880.926637,2.9182,2.0094
1765320880.971734,2.9220,2.0103
1765320881.020713,2.9265,2.0113
1765320881.071343,2.9309,2.0123
1765320881.121418,2.9352,2.0135
1765320881.167197,2.9392,2.0145
1765320881.212201,2.9430,2.0155
1765320881.260952,2.9473,2.0166
1765320881.310726,2.9516,2.0180
1765320881.372110,2.9567,2.0194
1765320881.421540,2.9612,2.0209
1765320881.471318,2.9656,2.0223
1765320881.521327,2.9697,2.0237
1765320881.573193,2.9741,2.0250
1765320881.612202,2.9775,2.0263
1765320881.661332,2.9816,2.0278
1765320881.731469,2.9876,2.0299
1765320881.771610,2.9910,2.0312
1765320881.822447,2.9949,2.0329
1765320881.871266,2.9992,2.0346
1765320881.921247,3.0033,2.0364
1765320881.971636,3.0074,2.0382
1765320882.012213,3.0107,2.0397
1765320882.061883,3.0149,2.0414
1765320882.132294,3.0207,2.0441
1765320882.171833,3.0239,2.0458
1765320882.221416,3.0278,2.0477
1765320882.271237,3.0319,2.0498
1765320882.321251,3.0358,2.0519
1765320882.372148,3.0398,2.0539
1765320882.412257,3.0430,2.0556
1765320882.464680,3.0472,2.0579
1765320882.507018,3.0505,2.0600
1765320882.556197,3.0544,2.0620
1765320882.621904,3.0595,2.0652
1765320882.671350,3.0637,2.0678
1765320882.722256,3.0678,2.0702
1765320882.772137,3.0713,2.0726
1765320882.813261,3.0741,2.0743
1765320882.880824,3.0792,2.0778
1765320882.931949,3.0832,2.0803
1765320882.972713,3.0862,2.0826
1765320883.022127,3.0899,2.0852
1765320883.072392,3.0936,2.0878
1765320883.121711,3.0973,2.0906
1765320883.172131,3.1008,2.0934
1765320883.212265,3.1036,2.0955
1765320883.261182,3.1072,2.0983
1765320883.331740,3.1121,2.1023
1765320883.372198,3.1148,2.1046
1765320883.421134,3.1183,2.1073
1765320883.471289,3.1217,2.1104
1765320883.522280,3.1252,2.1133
1765320883.572134,3.1287,2.1163
1765320883.612287,3.1314,2.1188
1765320883.661874,3.1346,2.1218
1765320883.732425,3.1395,2.1259
1765320883.772057,3.1420,2.1286
1765320883.821764,3.1452,2.1317
1765320883.873363,3.1484,2.1349
1765320883.922259,3.1516,2.1381
1765320883.972132,3.1546,2.1414
1765320884.012292,3.1569,2.1439
1765320884.081649,3.1616,2.1489
1765320884.110608,3.1635,2.1510
1765320884.172398,3.1668,2.1550
1765320884.222620,3.1697,2.1581
1765320884.271271,3.1726,2.1616
1765320884.321265,3.1754,2.1650
1765320884.372133,3.1783,2.1686
1765320884.412292,3.1807,2.1715
1765320884.463292,3.1836,2.1753
1765320884.532131,3.1873,2.1801
1765320884.571832,3.1894,2.1829
1765320884.621638,3.1921,2.1864
1765320884.672243,3.1946,2.1901
1765320884.721345,3.1974,2.1938
1765320884.772135,3.2001,2.1976
1765320884.812325,3.2022,2.2006
1765320884.861816,3.2046,2.2044
1765320884.932557,3.2084,2.2096
1765320884.971642,3.2101,2.2128
1765320885.022300,3.2125,2.2165
1765320885.071319,3.2149,2.2203
1765320885.121268,3.2173,2.2241
1765320885.172135,3.2194,2.2280
1765320885.212301,3.2213,2.2311
1765320885.261786,3.2236,2.2351
1765320885.312501,3.2257,2.2391
1765320885.372318,3.2283,2.2439
1765320885.422339,3.2305,2.2478
1765320885.472239,3.2325,2.2519
1765320885.522301,3.2346,2.2560
1765320885.572138,3.2366,2.2600
1765320885.612348,3.2382,2.2631
1765320885.681584,3.2407,2.2689
1765320885.712849,3.2420,2.2714
1765320885.773187,3.2443,2.2765
1765320885.821582,3.2462,2.2806
1765320885.874513,3.2479,2.2850
1765320885.921382,3.2497,2.2889
1765320885.969838,3.2513,2.2932
1765320886.013304,3.2527,2.2970
1765320886.063460,3.2544,2.3013
1765320886.112621,3.2560,2.3056
1765320886.159657,3.2574,2.3097
1765320886.222547,3.2594,2.3149
1765320886.272004,3.2607,2.3194
1765320886.319565,3.2621,2.3237
1765320886.369895,3.2635,2.3282
1765320886.412498,3.2647,2.3321
1765320886.462359,3.2659,2.3367
1765320886.530239,3.2678,2.3426
1765320886.559954,3.2684,2.3454
1765320886.621657,3.2700,2.3513
1765320886.672244,3.2711,2.3561
1765320886.719266,3.2723,2.3603
1765320886.769396,3.2732,2.3647
1765320886.811774,3.2742,2.3685
1765320886.862493,3.2752,2.3732
1765320886.928156,3.2765,2.3791
1765320886.972039,3.2773,2.3833
1765320887.022089,3.2785,2.3880
1765320887.071688,3.2791,2.3928
1765320887.123346,3.2802,2.3976
1765320887.169308,3.2808,2.4019
1765320887.212270,3.2815,2.4057
1765320887.261812,3.2822,2.4107
1765320887.329329,3.2833,2.4171
1765320887.363318,3.2836,2.4203
1765320887.422172,3.2847,2.4262
1765320887.472247,3.2852,2.4313
1765320887.523479,3.2859,2.4361
1765320887.567245,3.2864,2.4406
1765320887.612374,3.2868,2.4451
1765320887.662166,3.2874,2.4502
1765320887.727934,3.2881,2.4569
1765320887.762009,3.2883,2.4604
1765320887.821889,3.2890,2.4666
1765320887.872307,3.2892,2.4717
1765320887.922282,3.2897,2.4769
1765320887.968244,3.2900,2.4818
1765320888.012231,3.2903,2.4864
1765320888.062049,3.2907,2.4917
1765320888.128192,3.2910,2.4987
1765320888.171865,3.2914,2.5035
1765320888.207244,3.2917,2.5075
1765320888.272378,3.2920,2.5147
1765320888.322457,3.2922,2.5203
1765320888.367244,3.2923,2.5253
1765320888.412369,3.2926,2.5304
1765320888.481899,3.2928,2.5382
1765320888.512495,3.2929,2.5415
1765320888.561679,3.2930,2.5474
1765320888.622177,3.2933,2.5546
1765320888.672376,3.2933,2.5607
1765320888.722292,3.2936,2.5665
1765320888.773207,3.2935,2.5722
1765320888.812406,3.2937,2.5769
1765320888.862277,3.2939,2.5828
1765320888.931731,3.2941,2.5912
1765320888.971714,3.2942,2.5959
1765320889.022114,3.2943,2.6018
1765320889.072270,3.2943,2.6076
1765320889.122284,3.2945,2.6134
1765320889.168249,3.2945,2.6186
1765320889.216568,3.2947,2.6242
1765320889.267516,3.2949,2.6298
1765320889.328323,3.2950,2.6366
1765320889.375775,3.2952,2.6421
1765320889.426070,3.2954,2.6476
1765320889.468262,3.2957,2.6524
1765320889.518290,3.2958,2.6581
1765320889.568242,3.2963,2.6639
1765320889.616502,3.2963,2.6694
1765320889.664756,3.2966,2.6751
1765320889.727615,3.2967,2.6816
1765320889.757343,3.2970,2.6847
1765320889.824664,3.2969,2.6912
1765320889.868275,3.2970,2.6949
1765320889.922477,3.2971,2.6998
1765320889.972161,3.2970,2.7046
1765320890.013286,3.2969,2.7085
1765320890.062420,3.2970,2.7132
1765320890.112096,3.2968,2.7179
1765320890.172823,3.2965,2.7234
1765320890.222015,3.2964,2.7280
1765320890.272322,3.2961,2.7325
1765320890.322464,3.2957,2.7368
1765320890.372173,3.2955,2.7414
1765320890.413306,3.2952,2.7451
1765320890.481801,3.2944,2.7514
1765320890.512350,3.2942,2.7542
1765320890.572760,3.2936,2.7598
1765320890.621818,3.2930,2.7643
1765320890.672362,3.2924,2.7686
1765320890.722290,3.2919,2.7729
1765320890.772291,3.2910,2.7774
1765320890.812339,3.2904,2.7810
1765320890.862329,3.2896,2.7855
1765320890.932664,3.2885,2.7920
1765320890.972218,3.2876,2.7956
1765320891.021807,3.2869,2.8000
1765320891.072267,3.2860,2.8043
1765320891.122308,3.2850,2.8086
1765320891.172171,3.2838,2.8132
1765320891.212332,3.2831,2.8167
1765320891.282432,3.2814,2.8225
1765320891.332335,3.2803,2.8269
1765320891.372303,3.2794,2.8304
1765320891.422816,3.2782,2.8349
1765320891.472276,3.2767,2.8393
1765320891.522295,3.2754,2.8435
1765320891.572171,3.2740,2.8479
1765320891.612325,3.2728,2.8514
1765320891.663304,3.2714,2.8557
1765320891.711592,3.2701,2.8597
1765320891.772007,3.2682,2.8649
1765320891.823527,3.2666,2.8689
1765320891.872450,3.2650,2.8730
1765320891.922295,3.2634,2.8773
1765320891.972176,3.2615,2.8814
1765320892.012302,3.2601,2.8849
1765320892.082055,3.2575,2.8908
1765320892.131994,3.2558,2.8948
1765320892.162271,3.2547,2.8971
1765320892.222693,3.2525,2.9021
1765320892.272428,3.2503,2.9062
1765320892.322474,3.2483,2.9103
1765320892.372173,3.2463,2.9143
1765320892.412349,3.2446,2.9175
1765320892.462696,3.2426,2.9213
1765320892.511741,3.2404,2.9252
1765320892.571595,3.2376,2.9303
1765320892.623372,3.2354,2.9343
1765320892.672362,3.2331,2.9379
1765320892.722369,3.2309,2.9420
1765320892.772225,3.2284,2.9459
1765320892.812366,3.2265,2.9489
1765320892.863394,3.2240,2.9529
1765320892.931586,3.2207,2.9582
1765320892.971885,3.2186,2.9611
1765320893.023677,3.2161,2.9651
1765320893.073882,3.2136,2.9686
1765320893.120676,3.2113,2.9719
1765320893.170866,3.2085,2.9755
1765320893.212750,3.2063,2.9786
1765320893.264411,3.2035,2.9826
1765320893.330766,3.1998,2.9872
1765320893.371936,3.1975,2.9901
1765320893.411018,3.1955,2.9929
1765320893.473480,3.1919,2.9971
1765320893.519598,3.1893,3.0004
1765320893.571336,3.1863,3.0039
1765320893.611770,3.1839,3.0067
1765320893.662245,3.1809,3.0099
1765320893.730014,3.1769,3.0146
1765320893.759600,3.1750,3.0165
1765320893.810511,3.1719,3.0198
1765320893.872457,3.1679,3.0239
1765320893.920432,3.1650,3.0271
1765320893.969805,3.1616,3.0304
1765320894.012351,3.1588,3.0331
1765320894.061773,3.1555,3.0362
1765320894.111980,3.1524,3.0393
1765320894.172213,3.1483,3.0428
1765320894.221908,3.1451,3.0460
1765320894.272442,3.1417,3.0489
1765320894.318652,3.1384,3.0518
1765320894.369284,3.1349,3.0547
1765320894.412393,3.1320,3.0573
1765320894.461886,3.1284,3.0600
1765320894.529410,3.1234,3.0641
1765320894.572182,3.1203,3.0665
1765320894.622497,3.1169,3.0693
1765320894.672315,3.1134,3.0717
1765320894.723455,3.1101,3.0746
1765320894.769336,3.1064,3.0770
1765320894.812512,3.1032,3.0795
1765320894.862379,3.0993,3.0820
1765320894.929060,3.0943,3.0857
1765320894.972307,3.0909,3.0878
1765320895.022268,3.0871,3.0904
1765320895.072254,3.0835,3.0926
1765320895.123382,3.0798,3.0951
1765320895.168319,3.0761,3.0971
1765320895.212556,3.0728,3.0993
1765320895.282168,3.0674,3.1024
1765320895.328238,3.0637,3.1045
1765320895.362531,3.0609,3.1061
1765320895.422111,3.0561,3.1089
1765320895.472523,3.0522,3.1108
1765320895.522324,3.0484,3.1130
1765320895.568273,3.0444,3.1150
1765320895.612448,3.0408,3.1170
1765320895.661737,3.0364,3.1189
1765320895.712399,3.0324,3.1211
1765320895.762279,3.0283,3.1229
1765320895.822440,3.0238,3.1251
1765320895.872546,3.0194,3.1270
1765320895.922466,3.0149,3.1291
1765320895.973284,3.0103,3.1309
1765320896.012551,3.0070,3.1324
1765320896.062356,3.0027,3.1341
1765320896.111692,2.9984,3.1359
1765320896.172200,2.9932,3.1377
1765320896.222134,2.9889,3.1396
1765320896.272294,2.9844,3.1409
1765320896.322339,2.9800,3.1427
1765320896.372283,2.9756,3.1442
1765320896.412496,2.9722,3.1453
1765320896.461890,2.9677,3.1465
1765320896.512491,2.9631,3.1483
1765320896.561652,2.9584,3.1495
1765320896.622054,2.9530,3.1512
1765320896.672353,2.9484,3.1526
1765320896.722328,2.9439,3.1538
1765320896.772448,2.9394,3.1549
1765320896.812525,2.9358,3.1560
1765320896.881787,2.9293,3.1576
1765320896.933211,2.9245,3.1587
1765320896.962120,2.9216,3.1594
1765320897.022325,2.9159,3.1606
1765320897.072276,2.9110,3.1617
1765320897.122335,2.9062,3.1627
1765320897.172331,2.9014,3.1636
1765320897.214528,2.8977,3.1644
1765320897.282072,2.8913,3.1656
1765320897.331586,2.8869,3.1663
1765320897.374203,2.8839,3.1670
1765320897.422215,2.8839,3.1672
1765320897.472332,2.8859,3.1669
1765320897.522343,2.8888,3.1663
1765320897.572237,2.8941,3.1656
1765320897.612649,2.8995,3.1647
1765320897.682057,2.9103,3.1629
1765320897.733337,2.9178,3.1614
1765320897.773168,2.9233,3.1604
1765320897.822086,2.9290,3.1596
1765320897.872423,2.9314,3.1592
1765320897.922501,2.9315,3.1591
1765320897.972229,2.9303,3.1593
1765320898.013552,2.9272,3.1598
1765320898.061768,2.9216,3.1607
1765320898.112411,2.9159,3.1616
1765320898.171568,2.9094,3.1625
1765320898.221852,2.9047,3.1630
1765320898.273309,2.9000,3.1637
1765320898.322458,2.8952,3.1642
1765320898.373205,2.8901,3.1647
1765320898.413558,2.8859,3.1652
1765320898.462336,2.8827,3.1656
1765320898.533231,2.8840,3.1655
1765320898.572653,2.8857,3.1654
1765320898.621845,2.8901,3.1652
1765320898.672412,2.8967,3.1646
1765320898.722395,2.9044,3.1638
1765320898.773223,2.9121,3.1631
1765320898.813426,2.9179,3.1624
1765320898.882227,2.9270,3.1612
1765320898.931999,2.9298,3.1613
1765320898.972675,2.9302,3.1612
1765320899.013170,2.9299,3.1612
1765320899.072309,2.9269,3.1614
1765320899.122462,2.9213,3.1618
1765320899.172210,2.9152,3.1625
1765320899.212457,2.9108,3.1629
1765320899.264389,2.9054,3.1633
1765320899.312161,2.9003,3.1636
1765320899.373534,2.8938,3.1639
1765320899.423301,2.8882,3.1642
1765320899.472268,2.8831,3.1645
1765320899.522437,2.8830,3.1645
1765320899.572228,2.8853,3.1645
1765320899.612487,2.8871,3.1643
1765320899.663336,2.8919,3.1642
1765320899.712283,2.8988,3.1638
1765320899.772562,2.9082,3.1633
1765320899.812153,2.9142,3.1629
1765320899.872393,2.9229,3.1623
1765320899.922435,2.9295,3.1618
1765320899.972221,2.9331,3.1617
1765320900.012454,2.9338,3.1618
1765320900.063287,2.9330,3.1616
1765320900.112118,2.9298,3.1619
1765320900.161688,2.9246,3.1621
1765320900.223827,2.9169,3.1625
